当前排名,视频标题,播放量,弹幕数量,评分,作者,链接,时长,评论量,收藏,硬币,分享,点赞
36,每天12分钟 改变圆肩驼背 轻松塑形提升气质0基础瑜伽 |开肩拔背 简单易坚持 4K,53.3万,544,1164749,范李猿,//www.bilibili.com/video/BV1Hb4y1B755,1602,590,41964,16019,2386,28480
37,大海退潮后，大庆赶海发现一群海豆芽的呼吸孔，小尾巴比手还长,109万,5492,1164256,大庆赶海,//www.bilibili.com/video/BV1PQ4y1e7Cc,381,1578,2607,13087,1492,95842
38,爸妈全程偷偷围观了对门男朋友向我求婚说情话接吻这件事,47.8万,1.3万,1160387,东北lisa分sa,//www.bilibili.com/video/BV1Zh411s7gf,564,4575,8617,32541,9577,72530
39,316只小龙虾养了一年，今天决定了.....还是养到碗里来吧！,98.7万,3867,1132981,熊乐乐大魔王,//www.bilibili.com/video/BV1144y1h7SB,567,2622,4394,27259,2083,71062
40,深度还原男生买车,203.5万,2774,1116805,狈总,//www.bilibili.com/video/BV1pi4y1o7nE,265,1473,5461,2268,2785,118495
41,厦门海鲜大排档吃夜宵，兄弟俩竟然吃到最贵的鱼！,56.1万,2111,1116068,渣叔爱酒,//www.bilibili.com/video/BV1f44y1Y7Sk,536,748,7684,39121,1709,70559
42,造桥鬼才：爆肝168小时，我终于叒造出了“世界第一”的桥,87.8万,1991,1115672,咸鱼超闲余,//www.bilibili.com/video/BV1Cr4y1Q7DH,316,483,5220,27985,754,100376
43,真正跳舞VS打擦边球,120万,832,1114505,Way-HYX,//www.bilibili.com/video/BV1Hr4y1Q7H6,64,1314,10162,1801,1311,120204
44,当一个说话都嘴瓢的人，偏要唱歌时《孤勇者》,51.1万,2106,1109630,东尼ookii,//www.bilibili.com/video/BV1aR4y147Eb,254,1990,7547,27915,1216,78258
45,在家煮汤的n种方法，手残党也可以做好！,60.3万,1401,1100973,阿林吃土,//www.bilibili.com/video/BV1vU4y1N72V,647,1380,28138,12417,2438,29194
46,钱与爱-每个人都有自己的时区,104.2万,2317,1099796,威希弟,//www.bilibili.com/video/BV1Vf4y1T7C2,269,2516,8930,17148,4218,55444
47,《原 曲 是 啥 来 着》,79.2万,2183,1090333,凛-阿格里亚斯,//www.bilibili.com/video/BV19U4y1K7FY,176,2623,20475,19721,8579,58223
48,你听说过古代有种死法叫：“吞椒自尽”吗？,69万,2002,1087145,画渣花小烙,//www.bilibili.com/video/BV16R4y147Bw,212,2067,3895,10111,792,89349
49,强大到令人窒息的王者对决，韩 服 王 者 就 这？#91,284.9万,3816,1086109,yizhilugou,//www.bilibili.com/video/BV1pS4y1R7U7,289,2377,35422,133687,14451,233991
50,总在排行前三的网红粤菜馆，胖小伙吃了好评不断，文案小哥却觉得平平无奇？【就得这么晚-05细记港九】,59.3万,5272,1085021,王师傅和小毛毛,//www.bilibili.com/video/BV1JS4y1X7YL,647,1522,6493,32401,1715,69245
51,鲫鱼去刺这么简单，154根骨刺根根去除，吃鱼像吃豆腐一样放心，清蒸无骨鲫鱼,45.7万,1306,1074324,大厨阿斗,//www.bilibili.com/video/BV1iP4y1V734,392,1751,31592,15797,4731,29375
52,自己复刻的饮料！干净又卫生啊！,78.3万,2771,1063826,敬汉卿,//www.bilibili.com/video/BV1GL4y1W7Fx,394,1446,3284,10972,527,83628
53,破防了！2021年度弹幕竟然是它？,307.6万,1.8万,1059677,哔哩哔哩弹幕网,//www.bilibili.com/video/BV1tS4y1R72d,285,3516,11747,11405,4301,81067
54,绑架代替购买之刚绑架一窝小区还有一窝,191.7万,1060,1056266,本喵叫兔兔,//www.bilibili.com/video/BV1Kq4y1r77H,139,1740,9028,31143,1416,150684
55,“它看起来好有礼貌🥰”,100.3万,811,1054741,塔克喵,//www.bilibili.com/video/BV1Vq4y1g7xL,141,795,19837,7724,13443,65562
56,街边中式汉堡，麻糍打面团～1米长虾滑面条一口吃完，太过瘾了！无广试吃员/美食探店,89.4万,3317,1049371,小紧张的虫虫,//www.bilibili.com/video/BV1rg411A77w,296,1491,4100,14678,1670,69189
57,这才叫无限反转！顶级编剧都写不出这样的悬疑剧情！,233.4万,9472,1049134,刘老师说电影,//www.bilibili.com/video/BV1nr4y1Q7s5,776,4164,29773,46494,17374,178671
58,《那 些 笑 死 人 的 外 卖 订 单》,144.1万,468,1036322,人类欢乐指南,//www.bilibili.com/video/BV17L4y1W7Xo,169,320,5121,342,837,77822
59,沙县小吃 厨子探店¥50,126.7万,3739,1025086,真探唐仁杰,//www.bilibili.com/video/BV1WL41177hB,198,2913,2828,2606,1624,73558
60,【羊巴鲁】终 局 之 战,249.5万,6612,1024473,King_Vader,//www.bilibili.com/video/BV1Ub4y1q75a,395,2048,22968,52644,5846,214074
61,（ 无 名 之 辈 ）,44.8万,1919,1013767,进击的金厂长,//www.bilibili.com/video/BV1PF41187AK,353,833,11752,54594,1434,47953
62,【传说的世界】A-SOUL一周年纪念直播，即将开启！,27.7万,2789,1012492,A-SOUL_Official,//www.bilibili.com/video/BV1sb4y1B74E,60,10464,10361,26106,9787,35405
63,【牛肉拉面】观众老爷看到我拉韭叶，都直呼内行！！！,158万,2299,1005805,摊主阿良,//www.bilibili.com/video/BV17S4y1R7qp,313,1207,9076,17747,1035,115917
64,如何辨别搞艺术的,72万,585,1001143,东东翔,//www.bilibili.com/video/BV15P4y137QQ,133,898,7801,1854,2531,71161
65,【睡前消息360】中产阶级管教育，家委会驱逐小学生,50.4万,1.7万,998521,马督工,//www.bilibili.com/video/BV1644y1h7aA,1286,6723,8380,25958,6061,44082
66,东北洗浴最强劲敌，长沙洗脚城：上厕所都有保镖护卫！！,87.5万,4960,997974,vivi可爱多,//www.bilibili.com/video/BV1UY411s7m7,515,2279,5200,9963,10552,59084
67,没有一只小奶虎能躲过 举 高 高,70.6万,788,997706,中国大猫频道,//www.bilibili.com/video/BV1zF411873Q,71,679,6983,24682,1224,57318
68,全球首个活体机器人已可自我繁殖，外观酷似《吃豆人》,101.1万,1416,989274,观察者网,//www.bilibili.com/video/BV12F41187EW,94,5243,8770,674,10786,50530
69,这么绿、这么鲜艳的蘑菇真的都有毒？,121.7万,1050,985598,陈大奇的百草园,//www.bilibili.com/video/BV1pM4y1P7t1,115,530,9763,261,372,89527
